,Song,Tags
115,Until,"atthefatmans1946-48 tommydorseyandhisorchestra bigband,""mansorchestra"""
116,William Tell Overture,"greatesthit spikejones&hiscityslick bigband,""mansorchestra"""
117,Beg Your Pardon,"moonlightcocktailpiano frankiecarl spaceagepop,honky-tonkpiano"
118,St. Louis Blues March,"stardust texbeneke&hisorchestra ""mansorchestra"""
119,Underneath the Arches,presentingflanaganandallen flanagan&allen musichal
120,On a Slow Boat to China,"thebestofkaykyserandhisorchestra kaykyser&hisorchestra ""mansorchestra"""
121,Woody Woodpecker - Remastered 2005,"greatesthit melblanc,thesportsmen drama,com"
122,Ill Dance at Your Wedding,"raynobleplaysraynobleandoth raynoble&hisorchestra ""mansorchestra"",britishdanceband"
123,The Dickie Bird Song,"the20bestcollect freddymartin&hisorchestra,glenhughes,themartinmen bigband,""mansorchestra"""
124,Im Looking Over A Four Leaf Clover,"desafinado colemanhawkin jazz,jazzsaxophone,bebop"
125,How Soon,"timeonmyhand vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
126,Serenade Of The Bells,starringjostafford jostafford torchsong
127,Riders In the Sky,"bestofvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
128,That Lucky Old Sun,"frankielainesgreatesthit frankielain rock-and-roll,adultstandards,easylistening,cowboywestern"
129,Lets Fall in Love,"thattoweringfeel vicdamon adultstandards,easylisten"
130,Some Enchanted Evening,"alltimegreatesthit perrycomo adultstandards,easylisten"
131,Slippin Around   Originally Performed by Margaret Whiting & Jimmy Wakely  {Karaoke Version},"thekaraokechannel-countryhitsof1949,vol.1 thekaraokechannel karaok"
132,"I Can Dream, Cant I? - 1949 Single Version","50thanniversarycollection(vol.1) theandrewssisters,gordonjenkins&hisorchestra vocalharmonygroup,swing,adultstandards,torchsong"
133,Cruising Down the River,"musicinthemorganmann russmorganandhisorchestra ""mansorchestra"""
134,A Little Bird Told Me,"thebestofevelynknight evelynknight,thestardust bigband,""mansorchestra"""
135,Mule Train,"hellbentforleather! frankielain rock-and-roll,adultstandards,easylistening,cowboywestern"
136,Jealous - Instrumental,jealou eyedress noisepop
137,Cruisin Down the Highway,"miami jamesgang hardrock,albumrock,proto-metal,classicrock,britishblues,electricblues,southernrock,countryrock,mellowgold,bluesrock,heartlandrock,folkrock"
138,Someday,"bestofvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
139,Sunshine,"injoy gordonjam bigband,""mansorchestra"""
140,Forever and Ever,"musicinthemorganmann russmorganandhisorchestra ""mansorchestra"""
141,Forever And Ever,"theessentialperrycomo perrycomo adultstandards,easylisten"
142,Dont Cry,"useyourillusioni ""gunsnroses"" hardrock,rock,glammet"
143,Room Full of Roses,"superhit mickeygilley nashvillesound,classiccountrypop,countryrock,countri"
144,Far Away Places - 1949 Single Version / With 1954 Spoken Introduction,"bing:amusicalautobiographi bingcrosby,kendarbychoir adultstandards,lounge,easylisten"
145,Buttons And Bows,"16mostrequestedsongsofthe1940s,volumeon dinahshor adultstandards,torchsong,easylistening,vocaljazz"
146,Galway Bay,"bingcrosbysirishsongbook bingcrosbi adultstandards,lounge,easylisten"
147,Red Roses For a Blue Lady,"bestofvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
148,So Tired,"musicinthemorganmann russmorgan bigband,""mansorchestra"""
149,Powder Your Face With Sunshine,"thebestofevelynknight evelynknight,thestardust bigband,""mansorchestra"""
150,"Baby, Its Cold Outside","capitolrecordsfromthevaults:""capitolgoestothemovies"" johnnymercer,margaretwhiting,paulwestonandhisorchestra bigband,tinpanalley,""mansorchestra"",swing,torchsong"
151,You Belong To Me,theultim jostafford torchsong
152,Maybe Its Because,"dickhaymes-hisverybest dickhaym swing,deepadultstandards,britishdanceband"
153,careless,"agetape9 ardenjon bigband,""mansorchestra"""
154,A - Youre Adorable  - Remastered,"today&yesterday perrycomo,thefontanesist vocalharmonygroup,adultstandards,easylistening,deepadultstandard"
155,The Hucklebuck - Remastered 1993,"thepost-warera tommydorsey,charlieshav jazztrumpet,bigband,adultstandards,tinpanalley,vintagejazz,easylistening,swing,jazztrombone,dixieland"
156,I dont see nobody but you,idontseenobodybuty yusei slowedandreverb
157,Goodnight Irene,"thebestofthedeccayear gordonjenkins&hisorchestra,theweav folk,americanfolkreviv"
158,Mona Lisa,"unforgett natkingcol adultstandards,swing,vocaljazz,lounge,soul"
159,The Third Man Theme,thethirdman(filmscore1949) antonkara zither
160,Sams Song  - 1950 Single Version / With 1954 Spoken Introduction,"bing:amusicalautobiographi garycrosby,bingcrosby,""mattymatlocksall-stars"" adultstandards,lounge,easylisten"
161,Play A Simple Melody - Single Version,"bing-hislegendaryyears1931-1957 garycrosby&friend bigband,""mansorchestra"""
162,Music! Music! Music!,asweetold-fashionedgirl teresabrew deepadultstandard
163,Third Man Theme,"enjoyyourself:thehitsofguylombardo guylombardo vaudeville,bigband,tinpanalley,swing,britishdanceband"
164,Chattanoogie Shoe Shine Boy - 1949 Single Version,"thecountrymusichalloffam redfoley classiccountrypop,westernsw"
165,Harbor Lights,"bigbandman! sammykay swing,bigband,britishdanceband"
166,It Isnt Fair,donsgreathit doncornel deepadultstandard
167,If I Knew You Were Comin Idve Baked a Cake,"presentingeileenbarton eileenbarton,thenewyork deepadultstandard"
168,Bonapartes Retreat,thefabulousfavorit kaystarr torchsong
169,"Tzena, Tzena, Tzena","thebestofthedeccayear theweavers,gordonjenkins&hisorchestra folk,americanfolkreviv"
170,Theres No Tomorrow,greatesthit tonymartin deepadultstandard
171,The Thing,"radiohitsofthe50 philharrisandhisorchestra bigband,""mansorchestra"""
172,Sentimental Me,"theamazingamesbroth theamesbroth vocalharmonygroup,easylisten"
173,I Wanna Be Loved - 1950 Single Version,"theirgreatesthitsandfinestperform theandrewssisters,gordonjenkins&hisorchestra vocalharmonygroup,swing,adultstandards,torchsong"
174,Tennessee Waltz,"goldenhit pattipag adultstandards,easylisten"
175,"I Can Dream, Cant I? - 1949 Single Version","50thanniversarycollection(vol.1) theandrewssisters,gordonjenkins&hisorchestra vocalharmonygroup,swing,adultstandards,torchsong"
176,Ill Never Be Free   Karaoke Version,"thekaraokechannel-countryhitsof1950,vol.1 thekaraokechannel karaok"
177,All My Love,"thepattipagecollection:themercuryyears,vol.1 pattipag adultstandards,easylisten"
178,My Foolish Heart,"myfoolishheart gordonjenkinsandhisorchestra bigband,""mansorchestra"""
179,Rag Mop,"theamazingamesbroth theamesbroth vocalharmonygroup,easylisten"
180,Bewitched,"""bewitched""medley billsnyd bigband,""mansorchestra"""
181,Hoop-Dee-Doo,"theessentialperrycomo perrycomo adultstandards,easylisten"
182,"Bewitched, Bothered, And Bewildered","ellafitzgeraldsingstherodgersandhartsongbook ellafitzgerald jazz,jazzblues,adultstandards,swing,vocaljazz,soul"
183,Can Anyone Explain,"thebestoftheam theamesbroth vocalharmonygroup,easylisten"
184,My Foolish Heart,"vervejazzmasters22:billyeckstin billyeckstin swing,vocaljazz"
185,Dear Hearts And Gentle People,"bingsgoldrecords-theoriginaldeccarecord bingcrosbi adultstandards,lounge,easylisten"
186,The Cry of the Wild Goose,"hellbentforleather! frankielain rock-and-roll,adultstandards,easylistening,cowboywestern"
