,Song,Spotify Link,Song Image
76,Peg o' My Heart,https://open.spotify.com/track/2QC2q838vdt5wL9qlnEl7S,https://i.scdn.co/image/ab67616d00001e02131518ca8c4d0ef16fec367c
77,You Do,https://open.spotify.com/track/2G6hkhDh4Q6n6mVFmET8eG,https://i.scdn.co/image/ab67616d00001e02a781ded62d56b5e4948d7004
78,Feudin' And Fightin',https://open.spotify.com/track/7lWQNJSh7sMr6KMDfRHFSG,https://i.scdn.co/image/ab67616d00001e02bb34016ebcc29dcba94cfd50
79,Blue Bayou,https://open.spotify.com/track/3zxklD2EGecZre9MjEEvIU,https://i.scdn.co/image/ab67616d00001e0282fde014acedf91cc99e0d69
80,A Wonderful Guy,https://open.spotify.com/track/7DKjnQH7yeCUPXX88Hh12p,https://i.scdn.co/image/ab67616d00001e027c705a56add607b1b6d910ea
81,"Managua, Nicaragua",https://open.spotify.com/track/15g0U9M7uLoUP8PeAr7Wy5,https://i.scdn.co/image/ab67616d00001e023ac55e43d3840cc10857ea37
82,How Soon,https://open.spotify.com/track/4mdfDWIokdpXlKlYQug2Qu,https://i.scdn.co/image/ab67616d00001e02dcae4144a7683b7c5139c33c
83,The Whiffenpoof Song,https://open.spotify.com/track/4qmdAzgXiZMQdPyBjhLSy3,https://i.scdn.co/image/ab67616d00001e0206a3579c60daa638a161d453
84,"Open The Door, Richard",https://open.spotify.com/track/4ibZDEo0rkxJDbk2dHK8qO,https://i.scdn.co/image/ab67616d00001e02039db1890a8251ea792bd80b
85,(I Love You) For Sentimental Reasons,https://open.spotify.com/track/5R6UdXyTP6hqLX7eD42Fgx,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
86,Golden Earrings,https://open.spotify.com/track/0rcHLnBQzzGrbt2cbbYZiO,https://i.scdn.co/image/ab67616d00001e02b30cdc4b7a1630bde8c919c6
87,Ole Buttermilk Sky,https://open.spotify.com/track/1M2NFzR0gAeDt8yIHuqlaQ,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a
88,Twelfth Street Rag,https://open.spotify.com/track/0Ec85AbUzt5SRDnsiBodml,https://i.scdn.co/image/ab67616d00001e0257dc0b281f13101316fca1d8
89,Manana (Is Soon Enough For Me),https://open.spotify.com/track/3baBjQISAznjkg8WwzipPM,https://i.scdn.co/image/ab67616d00001e02b30cdc4b7a1630bde8c919c6
90,Now Is The Hour (Maori Farewell Song) - Single Version,https://open.spotify.com/track/5eKva6ek6QTxwtYAioGWqX,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
91,A Tree In The Meadow - Remastered 1990,https://open.spotify.com/track/4RKMHiQ1sQCJVcPEbqcXR2,https://i.scdn.co/image/ab67616d00001e021c56aa1ba4c4eeba9d1bce62
92,My Happiness (feat. Fiona Prine),https://open.spotify.com/track/0IxA2nFzbC3yvUKcDTcyqM,https://i.scdn.co/image/ab67616d00001e02cbcee66e4452aa833f2520b5
93,"You Can't Be True, Dear",https://open.spotify.com/track/13J3nj3RP6YjcG6bgFD9gj,https://i.scdn.co/image/ab67616d00001e0234faf7c3ccd9774c53565750
94,Little White Lies,https://open.spotify.com/track/7dY8rGcdOeo2RFj0OJbuJ9,https://i.scdn.co/image/ab67616d00001e02b9fbc748d6418ca3f1c03092
95,You Call Everybody Darling - 1948 Single Version,https://open.spotify.com/track/54hYO9rwrxMNTKE6jlKXrV,https://i.scdn.co/image/ab67616d00001e025dce3390d208e9ad03c3632d
96,My Happiness,https://open.spotify.com/track/4HLYTkGtaXGcozWywPlBZP,https://i.scdn.co/image/ab67616d00001e020343f053ee05ce219f6c7ad3
97,I'm Looking Over A Four Leaf Clover (Jazz Samba),https://open.spotify.com/track/1wqrfKgBPtCHITqSwwXcxf,https://i.scdn.co/image/ab67616d00001e0211d73b1e57790b5f47b144cc
98,It's Magic (with George Sirava and His Orchestra) - Version 1 - Take 6,https://open.spotify.com/track/0KCac2Oyqfi1kKyhrCJhPl,https://i.scdn.co/image/ab67616d00001e02f2ee02ef38c965d5ebe540fa
99,Maybe Your Baby,https://open.spotify.com/track/0x3jYUWbnbygky6JSnoSpX,https://i.scdn.co/image/ab67616d00001e02a14b08b9a6616e121df5e8b0
100,Dance Ballerina Dance,https://open.spotify.com/track/4Yuug0cnC1XHjAyLe11yUq,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997
101,Nature Boy,https://open.spotify.com/track/2WMyu5IYgxEuCd6xgFgJrl,https://i.scdn.co/image/ab67616d00001e02deac5adf07affb5fec422701
102,Woody Woodpecker Song,https://open.spotify.com/track/4a5fzw7uaQJsRX1XFzr3NH,https://i.scdn.co/image/ab67616d00001e0263064a57972c3642ff9ce9fd
103,Love Somebody,https://open.spotify.com/track/5xLc3a3UDVKt3FxyxHMZoY,https://i.scdn.co/image/ab67616d00001e02f2ee02ef38c965d5ebe540fa
104,Now Is the Hour,https://open.spotify.com/track/7svekL2otHzhIcsN9mHDRn,https://i.scdn.co/image/ab67616d00001e02f5ef8b73b83c6f7e876eeb23
105,Beg Your Pardon (feat. Maxo Kream),https://open.spotify.com/track/4zia8clWmDQUwhy5ecHchP,https://i.scdn.co/image/ab67616d00001e020a185c5a93f1ff12f8dd0beb
106,"You Can't Be True, Dear",https://open.spotify.com/track/13J3nj3RP6YjcG6bgFD9gj,https://i.scdn.co/image/ab67616d00001e0234faf7c3ccd9774c53565750
107,Toolie Oolie Doolie (The Yodel Polka),https://open.spotify.com/track/19WWVyMNkUIgZZr0aUjH1j,https://i.scdn.co/image/ab67616d00001e025dce3390d208e9ad03c3632d
108,Buttons And Bows,https://open.spotify.com/track/5fnRVoG3VypqQYm8506zU5,https://i.scdn.co/image/ab67616d00001e02207235766c4f06b08449e5f6
109,Golden Earrings,https://open.spotify.com/track/0rcHLnBQzzGrbt2cbbYZiO,https://i.scdn.co/image/ab67616d00001e02b30cdc4b7a1630bde8c919c6
110,Every Time I Close My Eyes (with Kenny G),https://open.spotify.com/track/2ezqQeBiC72gwMJoO4w1hA,https://i.scdn.co/image/ab67616d00001e029943ee0d87becde8aac0a930
111,Too Fat To Fly,https://open.spotify.com/track/54JQWhbv1i6OcIci1sABh6,https://i.scdn.co/image/ab67616d00001e0292a0bd0a8d499f158c0a33a6
112,Because,https://open.spotify.com/track/65V86dD697OW0vLs2R4IoR,https://i.scdn.co/image/ab67616d00001e02f59578709fd742ab6a48dccb
113,My Happiness,https://open.spotify.com/track/3kjenZsHz9VzqipcQlhrMJ,https://i.scdn.co/image/ab67616d00001e02807cc4e6a97c1a67c8b69803
114,Serenade of Water,https://open.spotify.com/track/5tt7O3V5vwf8ltkr1Wgxrf,https://i.scdn.co/image/ab67616d00001e02caa2063da9054f7b4e83f353
115,Until,https://open.spotify.com/track/5x5ZPOGYS0gDw1k9nPZZdR,https://i.scdn.co/image/ab67616d00001e023fa70eebf872fd427633a234
116,William Tell Overture,https://open.spotify.com/track/2AjSLM07jfrYr2tnsKjXMe,https://i.scdn.co/image/ab67616d00001e028b617466360726b75453aed7
117,Beg Your Pardon,https://open.spotify.com/track/01BPD4t3TkCs3yFwSFcUq7,https://i.scdn.co/image/ab67616d00001e021f85905d3f250372e43a3a97
